Rule: ('2.0', 'St') ==> ('otc alterations permit', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('', 'otc alterations permit', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('', '8', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('', 'otc alterations permit', '8', 'St') ==> ('wood frame (5)',)	 , confidence: 0.503,lift: 0.864
Rule: ('', 'otc alterations permit', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('', 'otc alterations permit', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('', '8', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('', 'otc alterations permit', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('5.0', 'St') ==> ('8', 'wood frame (5)', 'complete')	 , confidence: 0.504,lift: 1.530
Rule: ('5.0', 'St') ==> ('otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.504,lift: 1.530
Rule: ('5.0', 'St') ==> ('', '8', 'wood frame (5)', 'complete')	 , confidence: 0.504,lift: 1.000
Rule: ('5.0', '', 'St') ==> ('8', 'wood frame (5)', 'complete')	 , confidence: 0.504,lift: 1.530
Rule: ('5.0', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.504,lift: 1.000
Rule: ('5.0', '', 'St') ==> ('otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.504,lift: 1.530
Rule: ('5.0', 'St') ==> ('otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.504,lift: 1.000
Rule: ('5.0', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.504,lift: 1.000
Rule: ('5.0', '', 'St') ==> ('otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.504,lift: 1.000
Rule: ('complete',) ==> ('otc alterations permit', '2.0', 'St')	 , confidence: 0.504,lift: 1.197
Rule: ('complete',) ==> ('8', '2.0', 'St')	 , confidence: 0.504,lift: 1.197
Rule: ('complete',) ==> ('', 'otc alterations permit', '2.0', 'St')	 , confidence: 0.504,lift: 1.197
Rule: ('', 'complete') ==> ('otc alterations permit', '2.0', 'St')	 , confidence: 0.504,lift: 1.197
Rule: ('complete',) ==> ('otc alterations permit', '2.0', '8', 'St')	 , confidence: 0.504,lift: 1.000
Rule: ('complete',) ==> ('', '8', '2.0', 'St')	 , confidence: 0.504,lift: 1.197
Rule: ('', 'complete') ==> ('8', '2.0', 'St')	 , confidence: 0.504,lift: 1.197
Rule: ('complete',) ==> ('', 'otc alterations permit', '2.0', '8', 'St')	 , confidence: 0.504,lift: 1.000
Rule: ('', 'complete') ==> ('otc alterations permit', '2.0', '8', 'St')	 , confidence: 0.504,lift: 1.000
Rule: ('St',) ==> ('5.0', '8')	 , confidence: 0.505,lift: 0.904
Rule: ('St',) ==> ('5.0', 'otc alterations permit')	 , confidence: 0.505,lift: 0.904
Rule: ('St',) ==> ('5.0', '8', 'otc alterations permit')	 , confidence: 0.505,lift: 1.000
Rule: ('St',) ==> ('', '5.0', 'otc alterations permit')	 , confidence: 0.505,lift: 1.000
Rule: ('St',) ==> ('', '5.0', '8')	 , confidence: 0.505,lift: 0.904
Rule: ('St',) ==> ('5.0', '', '8', 'otc alterations permit')	 , confidence: 0.505,lift: 0.904
Rule: ('', 'St') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.505,lift: 0.904
Rule: ('', 'St') ==> ('5.0', '8')	 , confidence: 0.505,lift: 0.904
Rule: ('', 'St') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.505,lift: 0.904
Rule: ('8',) ==> ('complete',)	 , confidence: 0.506,lift: 1.036
Rule: ('otc alterations permit',) ==> ('complete',)	 , confidence: 0.506,lift: 1.036
Rule: ('8',) ==> ('', 'complete')	 , confidence: 0.506,lift: 1.036
Rule: ('8',) ==> ('otc alterations permit', 'complete')	 , confidence: 0.506,lift: 1.112
Rule: ('otc alterations permit',) ==> ('8', 'complete')	 , confidence: 0.506,lift: 1.112
Rule: ('8', 'otc alterations permit') ==> ('complete',)	 , confidence: 0.506,lift: 1.036
Rule: ('otc alterations permit',) ==> ('', 'complete')	 , confidence: 0.506,lift: 1.036
Rule: ('otc alterations permit',) ==> ('', '8', 'complete')	 , confidence: 0.506,lift: 1.112
Rule: ('8',) ==> ('', 'otc alterations permit', 'complete')	 , confidence: 0.506,lift: 1.112
Rule: ('otc alterations permit', '8') ==> ('', 'complete')	 , confidence: 0.506,lift: 1.036
Rule: ('', '8') ==> ('complete',)	 , confidence: 0.506,lift: 1.036
Rule: ('', 'otc alterations permit') ==> ('complete',)	 , confidence: 0.506,lift: 1.036
Rule: ('', 'otc alterations permit') ==> ('8', 'complete')	 , confidence: 0.506,lift: 1.112
Rule: ('', '8') ==> ('otc alterations permit', 'complete')	 , confidence: 0.506,lift: 1.112
Rule: ('', 'otc alterations permit', '8') ==> ('complete',)	 , confidence: 0.506,lift: 1.036
Rule: ('complete',) ==> ('otc alterations permit', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('8', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('', 'otc alterations permit', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('', 'complete') ==> ('otc alterations permit', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('', '8', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('', 'complete') ==> ('8', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('5.0', 'otc alterations permit', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('otc alterations permit', '2.0', 'wood frame (5)', '8')	 , confidence: 0.507,lift: 1.000
Rule: ('complete',) ==> ('5.0', '8', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('5.0', 'otc alterations permit', '2.0', 'wood frame (5)', '8')	 , confidence: 0.507,lift: 1.000
Rule: ('complete',) ==> ('5.0', '', '2.0', 'wood frame (5)', 'otc alterations permit')	 , confidence: 0.507,lift: 1.000
Rule: ('', 'complete') ==> ('5.0', 'otc alterations permit', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('', 'otc alterations permit', '2.0', 'wood frame (5)', '8')	 , confidence: 0.507,lift: 1.000
Rule: ('', 'complete') ==> ('otc alterations permit', '2.0', 'wood frame (5)', '8')	 , confidence: 0.507,lift: 1.000
Rule: ('complete',) ==> ('', '5.0', '2.0', 'wood frame (5)', '8')	 , confidence: 0.507,lift: 1.000
Rule: ('', 'complete') ==> ('5.0', '8', '2.0', 'wood frame (5)')	 , confidence: 0.507,lift: 1.281
Rule: ('complete',) ==> ('5.0', '', 'otc alterations permit', 'wood frame (5)', '8', '2.0')	 , confidence: 0.507,lift: 1.000
Rule: ('', 'complete') ==> ('5.0', 'otc alterations permit', '2.0', 'wood frame (5)', '8')	 , confidence: 0.507,lift: 1.000
Rule: ('2.0',) ==> ('otc alterations permit', 'complete')	 , confidence: 0.510,lift: 1.121
Rule: ('2.0',) ==> ('8', 'complete')	 , confidence: 0.510,lift: 1.121
Rule: ('2.0',) ==> ('', '8', 'complete')	 , confidence: 0.510,lift: 1.121
Rule: ('', '2.0') ==> ('8', 'complete')	 , confidence: 0.510,lift: 1.121
Rule: ('2.0',) ==> ('', 'otc alterations permit', 'complete')	 , confidence: 0.510,lift: 1.121
Rule: ('', '2.0') ==> ('otc alterations permit', 'complete')	 , confidence: 0.510,lift: 1.121
Rule: ('2.0',) ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.510,lift: 1.000
Rule: ('2.0',) ==> ('', 'otc alterations permit', 'complete', '8')	 , confidence: 0.510,lift: 1.000
Rule: ('', '2.0') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.510,lift: 1.000
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.513,lift: 1.560
Rule: ('5.0', '2.0') ==> ('8', 'wood frame (5)', 'complete')	 , confidence: 0.513,lift: 1.560
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.513,lift: 1.000
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.513,lift: 1.000
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.513,lift: 1.560
Rule: ('5.0', '2.0') ==> ('', '8', 'wood frame (5)', 'complete')	 , confidence: 0.513,lift: 1.000
Rule: ('', '5.0', '2.0') ==> ('8', 'wood frame (5)', 'complete')	 , confidence: 0.513,lift: 1.560
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.513,lift: 1.000
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.513,lift: 1.000
Rule: ('5.0', 'otc alterations permit') ==> ('0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', '8') ==> ('0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', 'otc alterations permit') ==> ('', '0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', '', 'otc alterations permit') ==> ('0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', 'otc alterations permit') ==> ('0.0', 'wood frame (5)', '8')	 , confidence: 0.514,lift: 1.791
Rule: ('5.0', '8') ==> ('otc alterations permit', 'wood frame (5)', '0.0')	 , confidence: 0.514,lift: 1.791
Rule: ('5.0', 'otc alterations permit', '8') ==> ('0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', '8') ==> ('', '0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', '', '8') ==> ('0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('5.0', 'otc alterations permit') ==> ('', '0.0', 'wood frame (5)', '8')	 , confidence: 0.514,lift: 1.000
Rule: ('5.0', '8') ==> ('', 'otc alterations permit', 'wood frame (5)', '0.0')	 , confidence: 0.514,lift: 1.000
Rule: ('', '5.0', 'otc alterations permit') ==> ('0.0', 'wood frame (5)', '8')	 , confidence: 0.514,lift: 1.791
Rule: ('', '5.0', '8') ==> ('otc alterations permit', 'wood frame (5)', '0.0')	 , confidence: 0.514,lift: 1.791
Rule: ('5.0', 'otc alterations permit', '8') ==> ('', '0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('', '5.0', '8', 'otc alterations permit') ==> ('0.0', 'wood frame (5)')	 , confidence: 0.514,lift: 1.777
Rule: ('',) ==> ('8', 'wood frame (5)')	 , confidence: 0.514,lift: 1.000
Rule: ('',) ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.514,lift: 1.000
Rule: ('',) ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.514,lift: 1.000
Rule: ('',) ==> ('8', 'wood frame (5)', 'otc alterations permit')	 , confidence: 0.514,lift: 1.000
Rule: ('',) ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.514,lift: 1.000
Rule: ('',) ==> ('5.0', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.514,lift: 1.000
Rule: ('St',) ==> ('wood frame (5)',)	 , confidence: 0.515,lift: 0.884
Rule: ('St',) ==> ('5.0', 'wood frame (5)')	 , confidence: 0.515,lift: 0.884
Rule: ('St',) ==> ('', 'wood frame (5)')	 , confidence: 0.515,lift: 0.884
Rule: ('St',) ==> ('', '5.0', 'wood frame (5)')	 , confidence: 0.515,lift: 0.884
Rule: ('', 'St') ==> ('wood frame (5)',)	 , confidence: 0.515,lift: 0.884
Rule: ('', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.515,lift: 0.884
Rule: ('2.0', 'St') ==> ('5.0', '8')	 , confidence: 0.515,lift: 0.922
Rule: ('2.0', 'St') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.515,lift: 0.922
Rule: ('2.0', 'St') ==> ('', '5.0', '8')	 , confidence: 0.515,lift: 0.922
Rule: ('', '2.0', 'St') ==> ('5.0', '8')	 , confidence: 0.515,lift: 0.922
Rule: ('2.0', 'St') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.515,lift: 0.922
Rule: ('2.0', 'St') ==> ('', '5.0', 'otc alterations permit')	 , confidence: 0.515,lift: 1.000
Rule: ('', '2.0', 'St') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.515,lift: 0.922
Rule: ('2.0', 'St') ==> ('', '5.0', '8', 'otc alterations permit')	 , confidence: 0.515,lift: 1.000
Rule: ('', '2.0', 'St') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.515,lift: 0.922
Rule: ('2.0', 'wood frame (5)') ==> ('otc alterations permit', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', '8', 'St')	 , confidence: 0.516,lift: 1.470
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', 'St')	 , confidence: 0.516,lift: 1.470
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('otc alterations permit', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('', '8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('', '2.0', 'wood frame (5)') ==> ('8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('', '2.0', 'wood frame (5)') ==> ('otc alterations permit', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('', '5.0', '8', 'St')	 , confidence: 0.516,lift: 1.470
Rule: ('', '2.0', 'wood frame (5)') ==> ('5.0', '8', 'St')	 , confidence: 0.516,lift: 1.470
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('', '8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('', '5.0', '2.0', 'wood frame (5)') ==> ('8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', '', 'St', 'otc alterations permit')	 , confidence: 0.516,lift: 1.000
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('', '2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', 'St')	 , confidence: 0.516,lift: 1.470
Rule: ('5.0', '', '2.0', 'wood frame (5)') ==> ('otc alterations permit', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 1.000
Rule: ('', '2.0', 'wood frame (5)') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 1.000
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('2.0', 'wood frame (5)') ==> ('', '5.0', 'St', '8', 'otc alterations permit')	 , confidence: 0.516,lift: 1.000
Rule: ('', '2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 1.000
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 1.000
Rule: ('', '5.0', '2.0', 'wood frame (5)') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.516,lift: 0.825
Rule: ('3.0',) ==> ('otc alterations permit', 'complete')	 , confidence: 0.516,lift: 1.135
Rule: ('3.0',) ==> ('8', 'complete')	 , confidence: 0.516,lift: 1.135
Rule: ('3.0',) ==> ('', 'otc alterations permit', 'complete')	 , confidence: 0.516,lift: 1.135
Rule: ('', '3.0') ==> ('otc alterations permit', 'complete')	 , confidence: 0.516,lift: 1.135
Rule: ('3.0',) ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.516,lift: 1.000
Rule: ('3.0',) ==> ('', '8', 'complete')	 , confidence: 0.516,lift: 1.135
Rule: ('', '3.0') ==> ('8', 'complete')	 , confidence: 0.516,lift: 1.135
Rule: ('3.0',) ==> ('', 'otc alterations permit', 'complete', '8')	 , confidence: 0.516,lift: 1.000
Rule: ('', '3.0') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.516,lift: 1.000
Rule: ('5.0', '2.0') ==> ('8', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('5.0', '2.0') ==> ('', '8', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('', '5.0', '2.0') ==> ('8', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('5.0', '2.0') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('', '5.0', '2.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.522,lift: 1.000
Rule: ('', '5.0', '2.0') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.522,lift: 0.835
Rule: ('5.0',) ==> ('8', 'wood frame (5)', 'complete')	 , confidence: 0.523,lift: 1.588
Rule: ('5.0',) ==> ('otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.523,lift: 1.588
Rule: ('5.0',) ==> ('', 'otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.523,lift: 1.000
Rule: ('5.0', '') ==> ('otc alterations permit', 'wood frame (5)', 'complete')	 , confidence: 0.523,lift: 1.588
Rule: ('5.0',) ==> ('', '8', 'wood frame (5)', 'complete')	 , confidence: 0.523,lift: 1.000
Rule: ('5.0', '') ==> ('8', 'wood frame (5)', 'complete')	 , confidence: 0.523,lift: 1.588
Rule: ('5.0',) ==> ('otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.523,lift: 1.000
Rule: ('5.0',) ==> ('', 'otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.523,lift: 1.000
Rule: ('5.0', '') ==> ('otc alterations permit', 'wood frame (5)', 'complete', '8')	 , confidence: 0.523,lift: 1.000
Rule: ('5.0', '8') ==> ('0.0',)	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', 'otc alterations permit') ==> ('0.0',)	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', 'otc alterations permit') ==> ('', '0.0')	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', '', 'otc alterations permit') ==> ('0.0',)	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', '8') ==> ('', '0.0')	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', '', '8') ==> ('0.0',)	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', '8') ==> ('otc alterations permit', '0.0')	 , confidence: 0.524,lift: 1.653
Rule: ('5.0', 'otc alterations permit') ==> ('8', '0.0')	 , confidence: 0.524,lift: 1.653
Rule: ('5.0', '8', 'otc alterations permit') ==> ('0.0',)	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', 'otc alterations permit') ==> ('', '0.0', '8')	 , confidence: 0.524,lift: 1.653
Rule: ('5.0', '8') ==> ('', 'otc alterations permit', '0.0')	 , confidence: 0.524,lift: 1.000
Rule: ('5.0', '', 'otc alterations permit') ==> ('0.0', '8')	 , confidence: 0.524,lift: 1.000
Rule: ('5.0', '', '8') ==> ('otc alterations permit', '0.0')	 , confidence: 0.524,lift: 1.653
Rule: ('5.0', 'otc alterations permit', '8') ==> ('', '0.0')	 , confidence: 0.524,lift: 1.637
Rule: ('5.0', '', '8', 'otc alterations permit') ==> ('0.0',)	 , confidence: 0.524,lift: 1.637
Rule: ('3.0',) ==> ('2.0', 'St')	 , confidence: 0.526,lift: 1.075
Rule: ('3.0',) ==> ('', '2.0', 'St')	 , confidence: 0.526,lift: 1.075
Rule: ('', '3.0') ==> ('2.0', 'St')	 , confidence: 0.526,lift: 1.075
Rule: ('complete',) ==> ('5.0', '8', '2.0')	 , confidence: 0.529,lift: 1.281
Rule: ('complete',) ==> ('5.0', 'otc alterations permit', '2.0')	 , confidence: 0.529,lift: 1.281
Rule: ('complete',) ==> ('5.0', '', '2.0', 'otc alterations permit')	 , confidence: 0.529,lift: 1.000
Rule: ('', 'complete') ==> ('5.0', 'otc alterations permit', '2.0')	 , confidence: 0.529,lift: 1.281
Rule: ('complete',) ==> ('5.0', '', '2.0', '8')	 , confidence: 0.529,lift: 1.000
Rule: ('', 'complete') ==> ('5.0', '8', '2.0')	 , confidence: 0.529,lift: 1.281
Rule: ('complete',) ==> ('5.0', 'otc alterations permit', '2.0', '8')	 , confidence: 0.529,lift: 1.000
Rule: ('complete',) ==> ('5.0', '', '2.0', '8', 'otc alterations permit')	 , confidence: 0.529,lift: 1.000
Rule: ('', 'complete') ==> ('5.0', 'otc alterations permit', '2.0', '8')	 , confidence: 0.529,lift: 1.000
Rule: ('5.0', 'St') ==> ('8', 'complete')	 , confidence: 0.531,lift: 1.169
Rule: ('5.0', 'St') ==> ('otc alterations permit', 'complete')	 , confidence: 0.531,lift: 1.169
Rule: ('5.0', 'St') ==> ('', '8', 'complete')	 , confidence: 0.531,lift: 1.169
Rule: ('5.0', '', 'St') ==> ('8', 'complete')	 , confidence: 0.531,lift: 1.169
Rule: ('5.0', 'St') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.531,lift: 1.000
Rule: ('5.0', 'St') ==> ('', 'otc alterations permit', 'complete')	 , confidence: 0.531,lift: 1.169
Rule: ('5.0', '', 'St') ==> ('otc alterations permit', 'complete')	 , confidence: 0.531,lift: 1.169
Rule: ('5.0', 'St') ==> ('', 'otc alterations permit', 'complete', '8')	 , confidence: 0.531,lift: 1.000
Rule: ('', '5.0', 'St') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.531,lift: 1.000
Rule: ('5.0', '2.0') ==> ('8', 'complete')	 , confidence: 0.535,lift: 1.176
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'complete')	 , confidence: 0.535,lift: 1.176
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'complete')	 , confidence: 0.535,lift: 1.176
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', 'complete')	 , confidence: 0.535,lift: 1.176
Rule: ('5.0', '2.0') ==> ('', '8', 'complete')	 , confidence: 0.535,lift: 1.176
Rule: ('5.0', '', '2.0') ==> ('8', 'complete')	 , confidence: 0.535,lift: 1.176
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.535,lift: 1.000
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'complete', '8')	 , confidence: 0.535,lift: 1.000
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.535,lift: 1.000
Rule: ('2.0', 'wood frame (5)') ==> ('otc alterations permit', 'complete')	 , confidence: 0.536,lift: 1.178
